Temp^1.5,C
6.631853786,0.077682229
6.945169713,0.083129327
7.180156658,0.086755935
7.441253264,0.093130045
7.72845953,0.099499365
8.015665796,0.105868685
8.224543081,0.111334946
8.511749347,0.117704266
8.798955614,0.124073586
9.11227154,0.130438115
9.399477807,0.136807435
9.686684073,0.145011618
9.947780679,0.153220591
10.23498695,0.159589911
10.44386423,0.165056172
10.65274151,0.170522433
10.88772846,0.176901334
11.1227154,0.184197667
11.35770235,0.191494
11.61879896,0.199702973
11.87989556,0.205159652
12.11488251,0.213373416
12.40208877,0.219742736
12.55874674,0.227053441
12.95039164,0.231568735
12.7154047,0.233446715
13.15926893,0.243457015
13.47258486,0.250738975
13.78590078,0.258938367
13.78590078,0.269947541
14.09921671,0.275394639
14.4386423,0.290928689
14.41253264,0.301025223
14.75195822,0.310137255
15.01305483,0.322015953
15.37859008,0.323783745
15.35248042,0.340302297
15.69190601,0.355836348
16.08355091,0.373195679
16.37075718,0.397913623
16.73629243,0.403351139
17.07571802,0.421637483
17.44125326,0.439919036
17.83289817,0.461865523
18.30287206,0.486549932
18.64229765,0.514928019
19.06005222,0.535952284
19.47780679,0.560646274
19.89556136,0.588092558
20.33942559,0.613699188
20.78328982,0.642058112
21.25326371,0.670412245
21.69712794,0.702440894
22.16710183,0.734464752
22.66318538,0.753639782
23.15926893,0.794833162
23.68146214,0.837856612
24.17754569,0.879049992
24.6997389,0.922990874
