Temp^1.5,C
2.950391645,0.066431121
3.15926893,0.071897382
3.524804178,0.079169761
3.942558747,0.084597696
4.177545692,0.098316047
4.595300261,0.092734807
4.751958225,0.109219824
5.248041775,0.108211368
5.718015666,0.121886603
5.979112272,0.131930438
6.318537859,0.14104247
6.710182768,0.159319233
6.710182768,0.146475196
7.101827676,0.163834527
7.154046997,0.150980909
7.545691906,0.170175102
7.885117493,0.184791722
8.093994778,0.176496515
8.146214099,0.200340144
8.355091384,0.18654035
8.668407311,0.211253503
8.955613577,0.220375117
9.503916449,0.21935708
9.53002611,0.234031188
9.843342037,0.226634249
10.15665796,0.229329054
10.1305483,0.234838432
10.49608355,0.241193379
10.46997389,0.258629363
10.80939948,0.262236807
11.17493473,0.279600929
11.54046997,0.285038446
11.93211488,0.298728052
11.87989556,0.307911946
12.27154047,0.315179534
12.7154047,0.317850384
12.63707572,0.3279565
13.10704961,0.332457422
13.52480418,0.351646825
13.52480418,0.361738568
13.96866841,0.362574556
13.96866841,0.38092318
14.41253264,0.394603205
14.88250653,0.410113302
14.88250653,0.422039907
15.35248042,0.438467435
15.35248042,0.449476609
15.87467363,0.450298225
15.84856397,0.463147052
16.39686684,0.485064795
16.91906005,0.521666228
16.89295039,0.53084533
17.46736292,0.556428007
17.46736292,0.570189475
18.0156658,0.593024648
18.59007833,0.636038518
18.61618799,0.647042901
19.21671018,0.6671162
19.19060052,0.654276954
19.84334204,0.691771864
19.81723238,0.704620691
20.49608355,0.73385393
21.1227154,0.764014181
21.1227154,0.779610511
21.8537859,0.81800848
21.8537859,0.829017654
22.50652742,0.855503389
22.53263708,0.870177498
23.23759791,0.937020624
23.99477807,0.98917527
